class,striking_to_grappling_attempts_ratio
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
