Name,class,striking_to_grappling_attempts_ratio,striking_to_grappling_time_ratio
Brian Kelleher,Hybrid Grappler,5.46,28.33
Fabio Maldonado,Hybrid Grappler,5.46,57.54
Sheymon Moraes,Hybrid Grappler,5.43,799
Cesar Arzamendia,Hybrid Grappler,5.4,15
Caio Magalhaes,Hybrid Grappler,5.39,2399
Erick Montano,Hybrid Grappler,5.38,26.86
Roan Carneiro,Hybrid Grappler,5.36,49.66
Guido Cannetti,Hybrid Grappler,5.31,30.44
Alexander Yakovlev,Hybrid Grappler,5.28,17.2
Bryan Barberena,Hybrid Grappler,5.26,10.66
Ramazan Emeev,Hybrid Grappler,5.25,39.3
Drew Dober,Hybrid Grappler,5.24,8.75
Ben Nguyen,Hybrid Striker,5.23,11.8
Albert Tumenov,Hybrid Grappler,5.23,20.54
Diego Ferreira,Hybrid Grappler,5.21,49
Justine Kish,Hybrid Grappler,5.19,18.26
Tyron Woodley,Hybrid Striker,5.18,18.97
Cathal Pendred,Hybrid Grappler,5.12,19.4
Sirwan Kakai,Hybrid Grappler,5.11,29.51
Bojan Velickovic,Hybrid Grappler,5.09,141.57
PAULO HENRIQUE COSTA,Striker,5.07,799
Tim Johnson,Hybrid Grappler,5.07,35.17
Cris Cyborg,Striker,5.06,41.99
Jim Miller,Grappler,5.03,5.06
Uriah Hall,Striker,5.03,21.7
Ernest Chavez,Hybrid Grappler,5.02,36
John Howard,Hybrid Grappler,5.01,23.83
Alberto Uda,Hybrid Grappler,5,137.46
Galore Bofando,Hybrid Grappler,5,15
Richardson Moreira,Hybrid Grappler,5,31
Darren Till,Striker,4.98,14.72
Paul Craig,Hybrid Grappler,4.97,31.56
Kailin Curran,Hybrid Grappler,4.95,15.19
Danny Castillo,Hybrid Grappler,4.95,9.12
Nasrat Haqparast,Hybrid Grappler,4.95,125.32
Cortney Casey,Hybrid Grappler,4.91,20.41
Marcio Alexandre Junior,Hybrid Grappler,4.89,174.61
Yosdenis Cedeno,Hybrid Grappler,4.89,25.91
Jake Lindsey,Hybrid Grappler,4.87,47
Fabricio Werdum,Hybrid Grappler,4.86,10.99
Merab Dvalishvili,Hybrid Grappler,4.86,31.43
Tor Troeng,Hybrid Grappler,4.85,46.37
