Name,estimated_minutes,submission_wins_final,ko_tko_wins_final,StrikingAttemptsToGrapplingAttempts_Ratio,PercentRank_StrikingtoGrappingAttemps_Ratio,StrikingToGrapplingTime_Ratio,PercentRank_StrikingToGrappingTime_Ratio,manual_stat_entry,classification
Milana Dudieva,35,0,0,1.67,0.24,67.85,0.8,0,Grappler
Minotauro Nogueira,20,21,3,37,0.95,31,0.59,1,Grappler
Mirko Cro Cop,15,4,30,22,0.9,23,0.44,1,Striker
Mirsad Bektic,80,3,6,1.41,0.21,1.68,0.01,1,Striker
Misha Cirkunov,45,8,4,2.31,0.33,7.93,0.17,1,Grappler
Mitch Clarke,40,0,0,5.71,0.64,63,0.79,0,Grappler
Mitch Gagnon,50,0,0,4.35,0.55,79,0.82,0,Grappler
Mizuto Hirota,60,0,10,2.85,0.41,11.39,0.25,1,Striker
Molly McCann,10,0,0,0,0,15,0.3,0,Grappler
Montana De La Rosa,20,8,0,19,0.88,31,0.59,1,Grappler
Montel Jackson,15,0,0,0,0,23,0.44,0,Grappler
Muslim Salikhov,20,0,0,27,0.92,31,0.59,0,Striker
Myles Jury,65,3,10,4.68,0.57,17.8,0.39,1,Striker
Nad Narimani,15,0,0,0,0,23,0.44,0,Grappler
Nadia Kassem,15,0,0,0,0,23,0.44,0,Grappler
Nam Phan,15,6,8,0,0,23,0.44,1,Striker
Naoki Inoue,30,0,0,1.52,0.22,14.03,0.29,0,Grappler
Naoyuki Kotani,35,0,0,3.64,0.49,139,0.88,0,Grappler
Nasrat Haqparast,30,0,0,4.95,0.59,125.32,0.87,0,Grappler
Nate Diaz,65,11,5,9.18,0.77,820.05,0.97,1,Grappler
Nate Marquardt,100,14,13,4.24,0.55,8.86,0.19,1,Grappler
Nathan Coy,25,0,0,2.9,0.41,11.27,0.25,0,Grappler
Nathaniel Wood,10,0,0,0,0,15,0.3,0,Grappler
Nazareno Malegarie,15,0,0,0,0,23,0.44,0,Grappler
Neil Magny,205,3,7,2.73,0.38,3.25,0.03,1,Striker
Neil Seery,100,6,6,3.72,0.49,7999,1,1,Grappler
Nicco Montano,25,0,0,6.2,0.68,39,0.67,0,Grappler
Nick Catone,15,0,0,0,0,23,0.44,0,Grappler
Nick Diaz,25,8,13,17,0.87,39,0.67,1,Striker
Nick Hein,95,4,1,7.76,0.74,0.08,0,1,Grappler
Nick Roehrick,15,0,0,0,0,23,0.44,0,Grappler
Nick Urso,5,0,0,0,0,7,0.11,0,Grappler
Nico Musoke,75,5,4,5.79,0.65,8.93,0.2,1,Grappler
Nicolas Dalby,60,4,6,6.41,0.68,34.64,0.66,1,Striker
Nik Lentz,105,8,11,2.72,0.38,5.27,0.08,1,Striker
Nikita Krylov,60,15,10,2.8,0.4,36.11,0.67,1,Grappler
Niklas Backstrom,25,0,0,2.71,0.37,39,0.67,0,Grappler
Niko Price,55,3,9,4.79,0.58,9.23,0.21,1,Striker
Nina Ansaroff,75,2,4,5.7,0.64,10.63,0.23,1,Striker
Ning Guangyou,55,0,0,3.86,0.51,87,0.83,0,Grappler
Noad Lahat,45,0,0,2.73,0.38,20.82,0.42,0,Grappler
Nolan Ticman,20,0,0,0.89,0.17,27.74,0.57,0,Grappler
Nordine Taleb,105,0,7,2.24,0.31,6.48,0.1,1,Striker
Norifumi Yamamoto,10,2,13,0,0,15,0.3,1,Striker
Norman Parke,85,12,4,6.02,0.67,17.33,0.38,1,Grappler
Oliver Enkamp,20,0,0,7.13,0.72,368.23,0.94,0,Striker
Olivier Aubin-Mercier,130,0,0,2.77,0.39,13,0.28,0,Grappler
Oluwale Bamgbose,45,0,0,1.9,0.27,70.52,0.8,0,Grappler
Omari Akhmedov,100,5,7,4.2,0.54,8.62,0.19,1,Striker
Oskar Piechota,30,0,0,2.75,0.39,12.33,0.27,0,Grappler
Ovince St. Preux,185,7,11,4.81,0.59,6.07,0.1,1,Striker
Paddy Holohan,40,0,0,1.8,0.25,3.21,0.03,0,Grappler
Paige VanZant,100,3,2,2.33,0.33,3999,1,1,Grappler
Pat Healy,30,15,7,4.7,0.58,899,0.97,1,Grappler
Patrick Cote,100,3,10,1.97,0.28,15.16,0.35,1,Striker
Patrick Cummins,125,2,4,1.61,0.23,1.42,0,1,Striker
Patrick Holohan,20,0,0,2.05,0.29,42.24,0.7,0,Grappler
Patrick Walsh,30,0,0,1.06,0.17,11.87,0.26,0,Grappler
Patrick Williams,40,0,0,5.63,0.64,62.37,0.79,0,Grappler
Paul Craig,35,0,0,4.97,0.6,31.56,0.64,0,Grappler
