Name,estimated_minutes,submission_wins,ko_tko_wins,Total (R1-R5) Strikes Attempts,Total (R1-R5) Strikes Landed,Total (R1-R5) Significant Strikes Attempts,Total (R1-R5) Significant Strikes Landed,Opponent Total (R1-R5) Significant Strikes Attempts,Opponent Total (R1-R5) Significant Strikes Landed,Total (R1-R5) Ground Total Strikes_Attempts,Total (R1-R5) Ground Total Strikes_Landed,Total_R1-R5_Grappling_Submissions_Attempts,Total (R1-R5) Grappling Takedowns Attempts,Total (R1-R5) Grappling Takedowns Landed,Opponent Total (R1-R5) Grappling Takedowns Attempts,Opponent Total (R1-R5) Grappling Takedowns Landed,Total (R1-R5) Grappling Time,Total (R1-R5) Grappling Actions(Grd. Strikes + (Sub & TD Attempts),"Total (R1-R5) Striking, Standing, and Clinch Time",Total Striking Attempts to Grappling Action Attempts Ratio,Total Striking Time to Grappling Action Time Ratio
Aspen Ladd,15,0,2,84.0,45.0,60.0,26.0,252.0,126.0,39.0,22.0,0.0,1.0,1.0,12.0,2.0,0.4791666666666667,40.0,14.520833333333334,2.1,30.304347826086957
Augusto Mendes,35,0,0,218.0,96.0,185.0,64.0,1365.0,595.0,3.0,0.0,0.0,9.0,4.0,58.0,22.0,0.14583333333333334,12.0,34.854166666666664,18.166666666666668,238.99999999999997
Augusto Montano,35,0,1,170.0,92.0,159.0,81.0,459.0,196.0,16.0,10.0,0.0,0.0,0.0,40.0,11.0,0.30416666666666664,16.0,34.69583333333333,10.625,114.06849315068494
Augusto Sakai,15,0,1,0.0,0.0,0.0,0.0,838.0,367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,1.0,14.375,0.0,23.0
Austin Arnett,40,0,0,645.0,247.0,638.0,242.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,0.0,0.0,0.07083333333333333,6.0,39.92916666666667,107.5,563.7058823529412
Azunna Anyanwu,10,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,1.0,9.375,0.0,15.0
BJ Penn,40,0,0,259.0,127.0,154.0,30.0,928.0,374.0,96.0,90.0,0.0,0.0,0.0,26.0,11.0,0.625,96.0,39.375,2.6979166666666665,63.0
Barb Honchak,25,0,0,241.0,75.0,236.0,71.0,902.0,359.0,4.0,3.0,2.0,0.0,0.0,25.0,6.0,0.0875,6.0,24.9125,40.166666666666664,284.7142857142857
Bartosz Fabinski,45,0,0,382.0,321.0,145.0,107.0,207.0,84.0,226.0,191.0,0.0,33.0,26.0,2.0,1.0,2.78125,259.0,42.21875,1.4749034749034748,15.179775280898877
Bec Rawlings,90,1,0,2611.0,1318.0,2240.0,1029.0,1742.0,820.0,213.0,161.0,6.0,31.0,8.0,60.0,17.0,4.816666666666666,250.0,85.18333333333334,10.444,17.685121107266436
Belal Muhammad,95,0,1,3844.0,1977.0,2876.0,1195.0,2116.0,1025.0,754.0,576.0,0.0,112.0,42.0,40.0,23.0,9.3625,866.0,85.6375,4.438799076212471,9.14686248331108
Ben Nguyen,55,3,1,1020.0,471.0,913.0,404.0,1859.0,772.0,175.0,116.0,12.0,8.0,1.0,93.0,50.0,4.297916666666667,195.0,50.702083333333334,5.230769230769231,11.796897721764422
Ben Rothwell,45,2,1,224.0,116.0,204.0,96.0,719.0,396.0,30.0,30.0,3.0,0.0,0.0,1.0,1.0,0.625,33.0,44.375,6.787878787878788,71.0
Ben Saunders,85,3,1,3205.0,1744.0,2395.0,1032.0,2649.0,1266.0,818.0,725.0,16.0,5.0,5.0,118.0,34.0,3.6791666666666667,839.0,81.32083333333334,3.8200238379022644,22.103057757644397
Ben Wall,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,1.0,4.375,0.0,7.0
Beneil Dariush,135,3,1,5655.0,2863.0,4990.0,2292.0,4241.0,1813.0,1048.0,783.0,45.0,220.0,74.0,108.0,47.0,40.47291666666667,1313.0,94.52708333333334,4.306930693069307,2.335563905904154
Benito Lopez,30,0,0,168.0,87.0,157.0,77.0,553.0,181.0,6.0,5.0,0.0,0.0,0.0,6.0,2.0,0.625,6.0,29.375,28.0,47.0
