Name,estimated_minutes,submission_wins,ko_tko_wins,Total (R1-R5) Strikes Attempts,Total (R1-R5) Strikes Landed,Total (R1-R5) Significant Strikes Attempts,Total (R1-R5) Significant Strikes Landed,Opponent Total (R1-R5) Significant Strikes Attempts,Opponent Total (R1-R5) Significant Strikes Landed,Total (R1-R5) Ground Total Strikes_Attempts,Total (R1-R5) Ground Total Strikes_Landed,Total_R1-R5_Grappling_Submissions_Attempts,Total (R1-R5) Grappling Takedowns Attempts,Total (R1-R5) Grappling Takedowns Landed,Opponent Total (R1-R5) Grappling Takedowns Attempts,Opponent Total (R1-R5) Grappling Takedowns Landed,Total (R1-R5) Grappling Time,Total (R1-R5) Grappling Actions(Grd. Strikes + (Sub & TD Attempts),"Total (R1-R5) Striking, Standing, and Clinch Time",Total Striking Attempts to Grappling Action Attempts Ratio,Percentile_Rank_Striking_to_grappling_attempts_ratio,Total Striking Time to Grappling Action Time Ratio,Percentile_Rank_Striking_to_grappling_Time_ratio
Neil Seery,100,1,0,2988,1484,2452,985,1488,605,730,630,30,43,18,38,12,0.0125,803,99.9875,3.721046077,0.515,7999,1
Nicco Montano,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,1,24.375,0,0,39,0.673
Nick Catone,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,1,14.375,0,0,23,0.435
Nick Diaz,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,1,24.375,0,0,39,0.673
Nick Hein,95,0,0,2452,1170,2053,820,881,338,253,204,0,63,20,16,7,88.13125,316,6.86875,7.759493671,0.748,0.077937735,0
Nick Roehrick,15,0,0,0,0,0,0,194,117,0,0,0,0,0,2,0,0.625,1,14.375,0,0,23,0.435
Nick Urso,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,1,4.375,0,0,7,0.111
Nico Musoke,75,0,0,1518,693,1298,493,529,207,206,170,0,56,14,13,5,7.55,262,67.45,5.79389313,0.667,8.933774834,0.196
Nicolas Dalby,60,0,0,1007,441,907,348,349,140,118,91,0,39,22,12,8,1.683333333,157,58.31666667,6.414012739,0.699,34.64356436,0.657
Nik Lentz,105,1,2,3190,1906,2380,1201,1376,633,907,780,25,241,75,112,44,16.75,1173,88.25,2.719522592,0.397,5.268656716,0.079
Nikita Krylov,60,3,3,1861,1292,1301,806,1521,798,640,524,12,12,1,72,24,1.616666667,664,58.38333333,2.802710843,0.418,36.11340206,0.665
Niklas Backstrom,25,1,0,38,19,36,17,122,50,10,6,4,0,0,13,4,0.625,14,24.375,2.714285714,0.396,39,0.673
Niko Price,55,2,2,1361,451,1187,326,2673,1244,222,157,18,44,11,62,22,5.375,284,49.625,4.792253521,0.604,9.23255814,0.205
Nina Ansaroff,75,1,0,1504,857,1215,607,1810,774,239,194,12,13,5,61,15,6.45,264,68.55,5.696969697,0.659,10.62790698,0.231
Ning Guangyou,55,0,1,680,344,518,208,273,130,158,124,3,15,10,22,12,0.625,176,54.375,3.863636364,0.527,87,0.828
Noad Lahat,45,0,0,519,319,366,173,86,38,158,143,1,31,9,3,2,2.0625,190,42.9375,2.731578947,0.4,20.81818182,0.421
